
[task2] robot_order=('blue', 'red', 'green')
S red   | put the banana in the middle of the three bowls
S red   | put banana in the right-hand bowl
S blue  | put banana in the left-hand bowl
S blue  | put banana in the bowl on the left side
S red   | put banana in the bowl on the right side
S blue  | put banana in the left side bowl
S red   | put banana in the right side bowl
S blue  | put banana in the outer left bowl
S red   | put banana in the outer right bowl
S green | put banana in the bowl to the right of the leftmost bowl
S green | put banana in the bowl to the left of the rightmost bowl
S blue  | put banana in the bowl left of the middle bowl
S red   | put banana in the bowl right of the middle bowl
S blue  | put banana in the bowl immediately to the left of the middle bowl
S red   | put banana in the bowl immediately to the right of the middle bowl
S green | put banana in the bowl beside the rightmost bowl
S green | put banana in the bowl beside the leftmost bowl
B red   | put banana in the bowl on the right of the red bowl
S green | put banana in the bowl on the left of the red bowl
S red   | put banana in the bowl on the right of the green bowl
S blue  | put banana in the bowl on the left of the green bowl
S green | put banana in the bowl on the right of the blue bowl
B blue  | put banana in the bowl on the left of the blue bowl
B red   | put banana to the right of the red
S green | put banana to the left of the red
B blue  | put banana to the left of the blue
S green | put banana to the right of the blue
S blue  | put banana to the left of the green
S red   | put banana to the right of the green
S blue  | put banana to the left of the avocado colored bowl
S green | put banana to the right of the sky colored bowl
S blue  | put banana to the left of the grass colored bowl
B red   | put banana to the right of the tomato colored bowl
S blue  | put banana just to the left of the avocado bowl
S green | put banana immediately to the right of the sky bowl
S blue  | put banana directly to the left of the green colored bowl
S green | put banana directly to the right of the blue colored bowl
B red   | Put the banana into the bowl on the right of the red bowl. (from the robot perspective)
B red   | put banana in the bowl directly right of the red bowl
B red   | put banana in the bowl on the right side of the red bowl
S green | put banana in the bowl just left of the red bowl
B red   | put banana in the bowl just to the right of the red bowl
S green | put banana in the bowl immediately to the left of the red bowl
B red   | put banana in the red bowl's right
S green | put banana in the red bowl's left
B red   | put banana in the red bowl's right neighbor
S green | put banana in the red bowl's left neighbor
B red   | put banana in the right neighbor of the red bowl
S green | put banana in the left neighbor of the red bowl
S blue  | put banana in the neighbor to the left of the green bowl
S green | put banana in the neighbor to the right of the blue bowl
B red   | put banana in the bowl next to the red bowl on the right
S green | put banana in the bowl adjacent to the red bowl on the left
B red   | put banana in the bowl beside the red bowl on the right
S blue  | put banana in the bowl beside the green bowl on the left
S green | put banana in the bowl near the blue bowl on the right
S green | put banana in the bowl next to the leftmost bowl
S green | put banana in the bowl adjacent to the rightmost bowl
S red   | put banana in the bowl next to the middle bowl on the right
S blue  | put banana in the bowl next to the middle bowl on the left
B green | put banana in the bowl between blue and green
B green | put banana in between the blue bowl and the green bowl
B green | put banana in the one between the blue and green bowls
B green | put banana in the gap between the blue bowl and the green bowl
B green | put banana in the bowl located between the blue bowl and the green bowl
S green | put banana in the bowl sitting between red and blue
B green | put banana in the bowl separating blue and green
B green | put banana in the bowl that separates blue from green
B green | put banana in the separator bowl between blue and green
B green | put banana in the bowl adjacent to both blue and green
B green | put banana in the one touching both the blue and green bowls
S green | put banana in the bowl that is not at either end
S green | put banana in the bowl that is neither leftmost nor rightmost
B blue  | put banana in the bowl that is not the middle one
S red   | put banana in the bowl that is not green and not blue
S green | put banana in the bowl that is not red and not blue
S blue  | put banana in the bowl that is not red and not green
S green | put banana in the bowl that is neither red nor blue
S red   | put banana in the bowl excluding green and blue
S blue  | put banana in the bowl without red or green
S green | put banana in the non-red non-blue bowl
S green | put banana in the bowl that is not the rightmost and not blue
B green | put banana in the bowl that is neither leftmost nor blue
S blue  | put banana in the bowl that is not blood or grass
S blue  | put banana in the bowl that is not blood and not grass
S blue  | put banana in the bowl that is neither blood nor grass
S blue  | put banana in the bowl that is not tomato colored or avocado colored
B green | put banana in the bowl that is not sea or leftmost
S green | put banana in the bowl that is not ocean colored and not rightmost
B green | put banana in the bowl that is not blood or rightmost
B green | put banana in the bowl that is neither red nor rightmost
S red   | put banana in the bowl that is not avocado colored and not leftmost
S red   | put banana in the bowl that is neither sky colored nor middle
S blue  | put banana in the bowl that is not grass colored and not rightmost
S green | put banana in the color of grass bowl
S blue  | put banana in the bowl whose color is like the sky
S green | put banana in the avocado colored bowl
S red   | put banana in the tomato colored bowl
S blue  | put banana in the ocean colored bowl
S red   | put banana in the bowl the color of a stop sign
S green | put banana in the bowl the color of a leaf
S blue  | put banana in the bowl the color of blueberries
S green | put banana in the traffic light go bowl
S green | put banana in the bowl on the left of the red bowl
B green | put banana somewhere safe
B green | put banana in the bowl that is not red
[summary] strict=99  best_effort=31  total=130
